Korean,English
뿌리다,"to sprinkle (something on/over something), scatter"
뿌리치다,"to repel, shake off, refuse"
뿐,"only, just, simply, merely, nothing but"
뿔,colloquial pronunciation of + grade symbol
사건,"incident, affair, case, matter"
사과하다,to apologize
사기,"morale, fighting spirit"
사나이,"gentleman, male"
사냥,hunting
사다리,a ladder
사들이다,to lay in
사라지다,to disappear
사랑니,wisdom tooth
사랑스럽다,"to be charming, lovely"
사랑하다,to love
사례,"instance, example"
사립,private (as in a private school)
사망,death
사망하다,"to die, pass away"
사모님,superiors wife
사무,office work
사무실,an office
사무직,office worker
사물,"a thing, object, matter"
사상,"a thought, an ideology"
사생활,"private life, privacy"
사소하다,"To be trivial, minor"
사실,"fact, truth, actually"
사실상,in fact
사업,"business, enterprise"
사업가,business person
사업자,a businessman
사용하다,to use
사용한도,credit limit
사위,son in law
사이,"relationship (with, between)"
사이사이,"spare moments, intervals, spaces"
사이좋다,To be on good terms
사자,a lion
사장,the president of a company
사전,a dictionary
사정,circumstances
사진,"a picture, a photo"
사진사,photographer
사춘기,"adolescence, puberty"
사탕,candy
사표,a written resignation
사학년,senior
사항,an item
사회,"community, society"
사회생활,social life
사회자,"master of ceremonies,chairperson,"
사회학,sociology
산,a mountain
산부인과,obstetrics and gynecology
산성비,acid rain
산속,in the mountains
산업,industry
산책,"a stroll, a walk"
살리다,to rescue
살아가다,to lead a life
살아오다,"to revive, escape"
살짝,slightly
살펴보다,to take a close look at
살피다,To look over carefully
삼가다,"to abstain from, to be mindful of"
삼각형,triangle
삼국,three kingdoms
삼다,"to make use of, use for the sake of"
삼월,march
삼학년,junior
상관없다,to have nothing to do with
상금,prize money
상당수,a good many
상당하다,"to be suitable, appropriate, adequate"
상당히,considerably
상대방,the person being spoken to (in a conversation)
상대적,relative
상대편,an opponent
상반기,the first half of the year
상상,imagination
상식,common sense
상어,shark
상원,the senate
상원 의원,a senator
상자,"a box, a case"
상징적,symbolic
상처,a wound
상쾌하다,"to be refreshing, fresh"
상태,"state,a condition,"
상표,"trademark, brand"
상품권,a gift certificate
상황,situation
새끼,off spring of animals
새롭다,to be new
새소리,chirping sound of a bird
새우,shrimp
새우다,to stay up all night
색다르다,"to be extraordinary, peculiar"
샌달,Sandals
생각깊게,thoughtfully
생각하다,"to think, to consider"
생겨나다,to germinate
생기다,"to happen, come to pass, occur, come about"
생명,life
생물학,biology (major)
생방송,a live broadcast
생산,"production, manufacture"
생산하다,to produce
생선,fish (for eating)
생신,(honorific) birthday
생활비,living expenses
생활수준,standard of living
생활용품,"living necessities, commodities"
생활환경,living condition (environment)
샤워,shower
샤워하다,to take a shower
샴푸,shampoo
서늘하다,"To be cool, chilly"
서다,to stand up
서두르다,"to hurry, to rush"
서랍,a drawer
서로,each other
서명,signature
서명하다,to sign one's name
서서히,"gradually, slowly, steadily"
서양,"western (culture, etc.)"
서양인,westerners
서점,a bookstore
서쪽,west
서투르다,"unskilled, clumsy"
서툴게,poorly
서툴다,"to lack skills, to do poorly."
석방,acquittal
석사,master's degree
섞다,"to mix, blend"
선거,election
선물,"a present, a gift"
선배,"senior, elder"
선원,crew member (on a ship/boat)
선장,a ship's captain
선전,"advertisement, propaganda, promotion"
선진국,developed country
선편,surface mail
설립하다,to establish or found
설마,surely (not)
설명,explanation
설명하다,to explain
설치하다,to install
섭씨,Celsius
성,last name
성경,the Bible
성공,success
성당,catholic church
성별,"sex, gender"
성숙하다,to be mature
성실하게,faithfully
성실하다,to be loyal
성장,growth
성적,"grade, score"
세,"fee, tax"
세계적,"worldwide, universal"
세금,tax
세대,generation
세로,length
세배돈,traditional bowing money
세상에,"in the world, what on earth!"
세월,"time, the years"
세제,"detergent, dish soap"
세탁기,washing machine
소,a cow
소개하다,to introduce
소고기,beef
소금,salt
소금통,salt shaker
소나기,rain shower
소득,"income, earning power"
소망,desire
소매,sleeves
소문나다,"to become the talk, be rumored about"
소비,consumption
소비자,a consumer
소비하다,"to consume, use up, pay, spend"
소설,a novel
소설가,novelist
소속,affiliation
소시지,sausage
소식,"news, information"
소아과,pediatrics
소용없다,To be useless
소원,a wish
소유,possession
소재,"one's location, whereabouts"
소중하다,"to be precious, valuable, priceless"
소중히,"valuably, treasurably"
소지품,one's personal belongings
소질,"temperament, character, nature"
소포,"a parcel, package"
소홀히,carelessly
소화하다,to digest
속달 우편,Express mail
속도 제한,speed limit
제한 속도,speed limit
속마음,"innermost feelings, real intention"
속상하다,"to feel sore about, depressed"
속옷,underwear
속을 썩이다,"to annoy, cause heartache."
속하다,"to belong to, to be affiliated with"
손가락,a finger
손길,one's reach
손님,"a guest, a customer"
손등,back of the hand
손목,wrist
손목 시계,a wrist watch
손목시계,a watch
손발,"hand and foot, the limbs"
손뼉,palm and fingers
손수,handmade
손수건,handkerchief
손실,loss
손잡다,"to hold hands, join hands"
손잡이,"handle, knob"
손톱,fingernails
솜,cotton
송아지,"calf, baby cow"
송어,trout
수건,towel
수고,efforts
수년,several years
수도꼭지,"water tap, faucet"
수돗물,tap water
수동적,passive
수락,acceptance
수력,hydroelectric power
수리하다,"to repair, to fix"
수만,tens of thousands
수많다,to be numerous
수석,"the top seat, first in class"
수선하다,to mend
수술하다,to operate
수영복,swimsuit
수영장,swimming pool
수영하다,to swim
수요,a demand or requirement for something
수요일,Wednesday
수의사,a veterinarian
수입,imports or individual income
수입품,imported goods
수저,a set of a spoon and chopsticks
수준,"a level,a standard"
수집,a collection
수출,export
수출하다,to export
수컷,male (for animals)
수필,an essay
숙녀,"lady, gentlewoman"
숙소,lodging
순간,"moment, instant, second"
순간적,momentary
순서,"sequence, procedure, order"
순수하다,to be pure
순위,"order, ranking, standing"
순진하다,to be innocent
순하다,"to be mild, gentle, meek"
숟가락,a spoon
술자리,a meeting for drinking
술집,"a bar, a drinking place"
숨,a breath
숨기다,hide
숨다,to hide (oneself)
숲,forest
쉬다,to rest
쉽게,easily
쉽다,to be easy
스모그,smog
스스로,by oneself
스승,"a master, respected teacher"
스웨터,sweater
스카치,scotch
스크랩,news paper clippings
스페인,Spain
스피커,speakers
슬그머니,"secretly, quietly"
슬리퍼,slippers
슬쩍,"furtively, sneakingly, secretly"
슬퍼하다,"to grieve, be sad"
습관,a habit
습기,humidity
습기,moisture
승리하다,"to defeat, to win"
시,poetry
시각,"perspective, point of view"
시간 관리,time management
시간마다,hourly
시금치,spinach/greens
시기,a period of time
시끄럽다,"to be noisy, loud"
시나리오,scenario
시댁,husband's house (honorific)
시도하다,to attempt
시동,the starting up of a vehicle
시들다,"to wither, fade"
시력,ability
시선,"one's sight, eye contact"
시설,"equipment, facilities, plant, institution, establishment"
시시하다,"to be trivial, petty, insignificant"
시아버지,husband's father
시월,October
시위,protest/demonstration
시일,date and hour
시절,the time of year
시집가다,to marry (used for women)
시청률,a (program's) viewer rating
시키다,"to force, to cause; to order"
시합,a competitive match
식구,family members
식기,tableware
식량,"foodstuffs, provisions"
식료품,"articles of food, foodstuff"
식물,"plant life, vegetation"
식사,a meal
식생활,eating habits
식욕,appetite for food
식초,vinegar
식품점,grocery store
식히다,to let cool
신경,"a nerve, concern"
신나다,to be excited
신문사,a newspaper publishing company
신문지,paper used for newspapers
신발,"footwear, shoes"
신부,catholic priest
신분,social position
신비,mystery
신사,a gentleman
신사복,menswear
신설,a new theory
신속하다,to be rapid
신장,kidney
신제품,a new product
신중하다,"To be cautious, prudent"
신청서,application form
신청하다,to apply
신체,the body
신체적,physical
신혼부부,newlyweds
신혼여행,honeymoon
신화,"myth, mythology"
싣다,"to load, to take (passengers)"
실,thread
실감,actual feeling
실례,"excuse, ill-manner, impoliteness"
실리다,to be printed
실망,disappointment
실망하다,to be disappointed
실수,a mistake
실수하다,to make a mistake
실시,implementation
실시되다,to be put into effect
실시하다,"to implement, carry out"
실업자,unemployed
실정,"real situation, actual circumstances"
실제,"actuality, truth, reality"
실제로,in reality
실천,practice (usual procedure)
실천하다,to follow through
실컷,to the utmost/unreservedly
실패,failure
실패하다,to fail
실험,"experiment, test, laboratory work"
심각하다,"To be serious, grave"
심다,"to plant, sow"
심리적,psychological
심리학,psychology
심부름,an errand
심장,heart
심하다,to be worse than usual
십만,one hundred thousand
십억,one billion
싱겁다,"to taste bland/flat, unsalted"
싸구려,"cheap, on the cheap"
싸다,"to pack, wrap"
싸우다,to fight
싸움,a fight
싹,entirely
쌀쌀하다,to be chilly
쌍둥이,a twin
쌓다,to pile up/stack
쌤,slang. “teacher”
썰다,"to dice, mince"
썰렁하다,to be corny (of jokes)
썰매,a sled
쏟아지다,to gush
쓰다,to write
쓰다듬다,"to touch, stroke"
쓰레기봉지,trash bag
쓰레기통,rubbish bin (big)
쓸데없다,"to be needless, unnecessary, useless"
쓸데없이,"worthless, useless"
씌우다,to cover (something with something)
씨름,traditional Korean wrestling
씩씩하다,"to be manly, brave"
씹다,to chew
씻기다,"to be washed, get wet in the rain"
씻다,to wash
아나운서,"anchorperson, announcer"
아니다,to not be
아랫사람,one's junior
아름답다,"to be beautiful, gorgeous"
아마도,maybe
아무래도,"any way, anyhow, surely, inevitably,"
아무런,any sort of
아무리,"no matter how, however much"
아쉬움,"frustration, sense of loss"
아스피린,aspirin
아울러,along with
아유,good heavens!
아주머니,"an aunt, a respectable word for a married, older woman"
아파트,an apartment
안개,"a fog, a mist"
안경,glasses
안내원,a guide (person)
안내책,Brochure
안내하다,to guide
안방,the main (living) room
안부,regards
안심하다,"to feel reassured, to rest assured"
안약,eye drops
안전밸트,seat belt
안정,stability
앉다,to sit down
알다,"to know, to understand"
알려주다,to reveal
알려지다,to become known
알리다,to let (someone) know
알맞다,to be fitting
알아보다,to recognize
알아보다,"to inquire about, to look into"
앓다,"to suffer (from), be sick"
암시,"a hint, allusion"
암컷,a female (of animals)
압력,pressure
앞,front
앞날,the future (negative connotation)
앞바다,coastal waters
앞서,"before, earlier, previously"
애국자,patriot
애쓰다,"to strive, make an effort"
야간,night time
야구,baseball
야수,a beast
야옹,meow
야외,outdoors
약,medicine
약간,somewhat
약속하다,to promise
약하다,to be weak
약혼녀,female fiancee
약혼자,fiancee
얄밉다,"to be hateful, detestable, spiteful"
얇다,to be thin
양,sheep
양보하다,to yield (to sth/someone)
양복,suit
양상추,lettuce
양옆,both sides
양파,onion
얕다,To be shallow
얘,"you there, child, sonny, him, her"
어눌하다,to be inarticulate
어느새,"before one knows it, without being aware"
어두워지다,to get dark
어디든지,wherever
어딘가에,somewhere
어리다,to be young
어색하다,"to feel awkward, be embarrassed"
어울리다,to suit or match
어저께,day before yesterday
어제,yesterday
어젯밤,last night
어지럽다,to be dizzy
어쨌든,anyhow
어쩌다,"by chance, by accident"
어쩌다가,"by chance, by accident, sometimes"
어쩌면,maybe
어쩜,"wow, how (indicating degree)"
어찌,for what reason
어찌나,"so, quite, too"
언론,"speech, discussion"
언어,language
언어학,linguistics (major)
언제나,always
언젠가,someday
얻다,"to get, obtain, acquire, win, gain, receive"
얻어먹다,"to beg, to be treated to (food)"
얼리다,to be freezing
얼마간,some quantity
얼마나,"how long, how much"
얼마나 자주,how often
엄숙하게,solemnly
엄숙하다,"to be grave, solemn"
엄청나다,"to be a lot, be exorbitant, ridiculous"
업무,"affair, business"
업체,(business) enterprise
없애다,"do away with, get rid of"
엇갈리다,to miss (each other)
엉망,"a wreck, ruin"
엉터리,"something or someone fake or bogus, rubbish, piece of junk, hogwash"
엊그제,a few days ago
엑스레이기,x-ray machine
여가,free time
여관,"an inn, a small hotel"
여기,here
여기다,"to regard, consider"
여기저기,here and there
여대생,female university student
여동생,younger sister
여론,public opinion
여름,summer
여유,time to spare
여인,"woman, lady (poetic)"
여자친구,girlfriend
여전하다,"to remain unchanged, be as before"
여전히,"still, as before, as ever, as usual"
여직원,female worker
여쭈다,to ask (honorific)
여행,"travel, a trip, a journey"
여행사,a travel agency
여행하다,to travel
역사상,"historically, in history"
역시,"as expected, sure enough"
역할,a role/duty
연구소,research center
연구실,laboratory
연구하다,to research
연극,a stage play
연기,"smoke, vapor"
연기되다,to be delayed
연기하다,to perform
연기하다,"to delay, postpone"
연두색,light green
연락처,contact information
연상하다,to associate
연습하다,to practice
연어,salmon
연인,"a sweetheart, lover"
연장,"extension, renewal"
연출하다,to direct (a film)
연필깍기,pencil sharpener
연하다,"to be tender, weak in flavor"
열,fever
열리다,to open
열리다,"to be opened, take place, open, begin"
열심히,"hard, diligently, enthusiastically"
열중하다,"to be zealous, enthusiastic"
열흘,a ten day (period)
엷다,to be light in color
염려하다,"to be worried, concerned, apprehensive, anxious"
엽서,"a postcard, a postal card"
영상,above zero
영업 시간,business hours
영역,"territory, domain, area"
영웅,a hero
영향,"influence, effect"
영화,a movie
옅다,to be light in color
옆구리,a side of the body
옆집,next door
예고하다,to give advance notice
예금,bank deposit
예리하다,to be sharp
예매하다,"to buy in advance (tickets), to reserve"
예문,example sentence
예민하다,"to be keen, sharp"
예보,"forecast, prediction"
예쁘다,"to be pretty, beautiful, lovely"
예산,budget
예상되다,to be expected
예상하다,"to predict, expect, anticipate"
예선,"preliminary match, qualifying round"
예수,Jesus Christ
예술,art
예습,preparation (of one's lessons)
예습하다,to prepare one's lesson
예전,in the past
예정,"a schedule, plan"
옛,"old, olden, archaic, ancient"
옛날,"the old days, a long time ago"
옛날이야기,an old story
오늘,today
오락,"entertainment, a game"
오래간만,after a long time
오래도록,for a long while
오랜,old
오랫동안,for a long time
오만,arrogance
오븐,oven
오염,"contamination, pollution"
오월,may
오존,ozone
오직,merely
오징어,a squid
오히려,on the contrary
옥상,rooftop
온갖,all kinds of
온대성,temperate
온대성 기후,temperate zone
온돌,heated floor
온종일,all day (long)
올가을,this autumn
올라가다,"to climb, ascend, go up"
올라서다,to step up
올라오다,to (literally) come up
올라타다,"to jump on, to ride"
올려다보다,to look up (at)
올리다,"to raise, raise, lift up ""a zipper"", to upload"
올림,yours truly (of letters)
올바르다,"to be right, correct, proper, upright"
올여름,this summer
올해,this year
옮기다,"to transfer (people, luggage), to move"
옳다,"to be right, reasonable"
옷,clothes
옷걸이,clothes hanger
와이셔츠,white dress shirt
완두콩,peas
완전히,"completely, perfectly"
왕,king
왕복,round-trip
왕복표,Round trip ticket
왕비,queen
왕자,prince
외갓집,one's mother's maiden home
외계인,space alien
외동딸,only daughter
외래어,a loanword
외발자전거,a unicycle
외부,the outside
외식하다,to eat out
외아들,only son
외우다,to memorize
외제,foreign goods
외출,"going out, being out"
외출하다,to go out
외치다,"to cry out, shout"
외침,a shout
외투,overcoat
외할머니,maternal grandmother
외할아버지,maternal grandfather
요구,"a demand, request"
요구하다,to demand
요금,"fee, a fare, a charge"
요리사,"cook, chef"
요새,these days
요트,yacht
용감하다,to be brave
용기,courage
용돈,money for spending
용서,forgiveness
용어,terminology
용의자,suspect
우비,a rain coat
우선,"first of all, to start with"
우승하다,to win a victory (championship)
우아하게,elegantly
우아하다,"To be elegant, graceful"
우울하다,"to be depressed, to be melancholy, gloomy"
우울한,moody
우유,milk
우주선,spaceship
우체부,"a mail carrier, a postman"
우체통,a mailbox
우편,"mail, postal service"
우편 요금,Postage
우편번호,zip code
우표,a stamp
우회전,a right turn
운동하다,to exercise
운동화,sneakers
운명,fate
운반,transportation
운영하다,to run or operate a business
운행,"movement,revolution"
울리다,to ring a bell or whistle
움직이다,to move
웃어른,one's elders
웃음소리,laughter
원래,"originally, primarily"
원서,application form
원숭이,a monkey
원인,a cause
원장,the manager
월세,monthly rent
월요일,Monday
웬만하다,to be tolerable
위기,"emergency, crisis"
위대하다,To be great
위로,"consolation, comfort"
위반,infraction
위반하다,to violate
위법,illegality
위아래,up and down
위원,committee member
위원장,a chairperson
위치,location / position
위험성,risk (possibility of danger)
위협하다,to threaten (not 협박)
윗몸,the upper part of the body
윗사람,"one's senior, superior"
유능하다,"to be able, to be competent"
유람선,a cruise ship
유령,a (western style) ghost
유머스럽다,to be humorous
유발하다,"to cause, induce"
유산,"heritage, legacy"
유적지,"historical landmarks, sites"
유지되다,to be kept/maintained
유지하다,to maintain/keep up
유치원,kindergarten
유행,fashion
유행하다,to be popular
육교,a pedestrian overpass
육군,army
육상,over land
육체,the body
육체적,"physical, bodily"
윤기,"luster, shine, gloss"
윤달,“intercalary month”. used to adjust lunar calendar
은색,silver
은퇴하다,to retire
은행나무,a ginkgo tree
음력,lunar calendar
음료수,a beverage
음반,"a phonograph record, disc"
음식,food
응급실,emergency room
응용,application (usage)
의견,"opinion, view, idea"
의논,"consultation, counsel, discussion"
의도,intention
의도적,knowingly
의류,"clothing, apparel"
의문,"a doubt, question"
의미,a meaning
의미하다,to mean or signify
의복,"a set of clothes, garments"
의식,consciousness
의식하다,"to be conscious of, be aware of"
의원,clinic or member of legislature
의지,"will, volition"
의하다,"to be based on, be founded on"
이것들,these
이것저것,this and that
이곳저곳,here and there
이끌다,to lead (e.g. an organization)
이나,or
이날,on this day
이념,ideology
이대로,as it is
이데올로기,ideology
이따금,"sometimes, from time to time, occasionally"
이때,"at this time, moment"
이래,after that
이래서,as such
이런,"like this, like such"
이론,a theory
이롭다,"to be beneficial, good"
이루다,"to accomplish, achieve"
이모,an aunt (mother's side)
이미,already
이민,immigration
이민국직원,immigration officer
이발사,barber
이발소,a barber shop
이별,"parting, farewell"
이상,"above, more than"
이상의,ideal
이상적이다,to be ideal
이상하다,to be strange
이성,rationality
이슬,"dew, dewdrops"
이어,subsequently
이어서,subsequently
이어지다,"to be connected, continue"
이외,"except (for), other than"
이용자,user
이용하다,to use (facilities or people)
이웃,neighborhood
이웃집,a neighbor's house
이유,"a reason, cause, excuse"
이익,"profit, gain"
이자,interest (on money)
이자율,interest rate
이제야,"finally, at last"
이하,"under, less than"
이학년,sophomore
이해,understanding
이해관계,economic interest
이해하다,to understand
이혼,divorce
이혼하다,to divorce
익다,to ripen
익숙해지다,to get used to/to become accustomed to
익히다,"to cook, to ferment"
인간,"a human being, mankind, humanity"
인간관계,human relations
인간성,human nature
인기,popularity (for a person)
인내,"patience, perseverance"
인류,mankind
인물,a figure or character
인사,greeting
인사하다,to greet
인삼차,ginseng tea
인상,"impression, personal appearance"
인상적,to be impressive
인상적이다,to be impressive
인생,human life
인쇄,printing
인식하다,to recognize
인재,a talented person
인정하다,"to recognize,acknowledge,admit,confirm"
인제,now (indicating change)
인종,a race / ethnicity
인터뷰,interview
인턴,intern
일기예보,a weather forecast
일년에 한 번,once a year
일다,to rise up
일단,"once, first"
일대,a region or zone
일등,"the first class, the first rank"
일등석,first class seat
일반석,Economy class
일본,Japan
일부,"part, portion, section"
일부러,deliberately
일손,manual labor
일시적,temporary
일어서다,to stand up
일억,one hundred million
일요일,Sunday
일으키다,"to cause,provoke, give rise to, start"
일자리,a job opening
일정하다,"to be fixed, uniform"
일종,"a kind, variety, species"
일주일,one week
일주일에 한 번,once a week
일터,workplace
일하다,to work
일회용,disposable (one time use)
일회용품,disposable product
읽다,to read
읽히다,to read to someone
임금,wage
임신부,a pregnant woman
입국,entrance into a country
입국심사,immigration
입다,"to put on, wear"
입력,"input, entry"
입력하다,to input
입사,entering a company
입사하다,to join a company
입술,lip
입시,entrance examination
입원,admission into a hospital
입원하다,to be hospitalized
입장,one's position/standpoint
잇다,"to connect, tie, link"
잇점,advantage
잊혀지다,to escape one's memory
자,ruler
자가용,"private car, one's own car"
자격,qualification
자격증,certificate of qualification
자기,one's self
자꾸,"repeatedly, often, frequently"
자녀,"offspring, children"
자다,to sleep
자두,a plum
자라나다,to grow (up)
자라다,to grow
자료,"materials, data"
자르다,to cut
자막,subtitles
자매,"sisters, female sibling"
자부심,"self conceit, self-esteem, pride"
자살하다,"to commit suicide, kill oneself"
자세,"a posture, position, stance"
자신,"oneself, self-confidence, self-assurance"
자신감,self-esteem
자신있다,to be self-confident
자연스럽다,To be natural
자연재해,natural disaster
자연적,"natural, instinctive, inborn, innate, inherent"
자연현상,a natural phenomenon
자원,resource
자유,freedom
자유롭다,"to be free, unrestricted"
자정,midnight
자주,"often, frequently"
자체,"oneself, itself"
작가,"writer, author"
작문,a compositional writing
작업,"work, operation"
작용,"effect, action"
작품,"a piece of work (art), performance, product"
잔도,loose change
잔디,"lawn,grass,turf,sod"
잔디밭,"a lawn, a grass plot, a patch of grass"
잔치,feast
잘못되다,to turn out wrong
잠그다,to lock
잠바,"windbreaker, jacket"
잠비,zombie
잠수함,submarine
잠시,a moment
잠자리,dragonfly
인하다,"to be due to,be caused by"
잡수시다,to eat (honorific)
잡아당기다,"to pull, yank"
잡지,a magazine
잡화,miscellaneous goods
잡히다,to be caught
장 거리,a long distance
장 보다,to buy groceries
장갑,gloves
장관,minister (of the Korean government)
장군,"general, admiral"
장기간,long period of time
장기적,"in the long run, in the long term"
장난감,a toy
장례,funeral service
장례식,funeral ceremony
장르,genre
장마,Korean monsoon season
장면,"scene, situation (movie, show)"
장사,"commerce, business"
장사꾼,"businessman seller, merchant, trader"
장소,place
장수,long life
장인,father-in-law (for males)
장차,"in the future, some day"
장학금,a scholarship
재다,to measure
재래시장,a traditional market
재방문하다,to revisit
재산,"estate, property, wealth"
재수,"luck, fortune"
재우다,to put someone to sleep
재작년,the year before last
재정,"finance, financial affairs, fiscal matters"
재주,talent
재채기,a sneeze
재채기하다,to sneeze
재판,"a court hearing, trial"
재판하다,to judge
재학,one's college days
재해,a disaster
재확인하다,to reconfirm
재활용,recycling
재활용품,recyclables
저금통,a savings jar
저금하다,to save money
저런,"oh my, oh dear!, goodness!"
저리,"in that direction, that way"
저온,a low temperature
저울,"a scale, balance"
저자,an author
저지르다,"to commit an error, wrong doing"
저축하다,to deposit money
적극,active
적극적,"active, aggressive"
적다,"to fill out (papers), to write down"
적성,aptitude
적어도,at the least
적응,fitness; suitability; adaptation
적절하다,to be appropriate
전공하다,to major in
전구,light bulb
전국,nationwide
전기 공학,electrical engineering (major)
전기밥솥,electric rice cooker
전달하다,"to deliver, convey"
전등,"fluorescent bulb, light bulb"
전등갖,lampshade
전망,"forecast, outlook"
전문적,"specialized, technical"
전문점,specialty store
전문직,professional occupation
전병,thin crispy pastry
전선,electric wires
전설,a legend
전세,"yearly rent, ""key money"" system"
전시,exhibition
전시되다,to be displayed
전시장,exhibition center
전시하다,"to show, exhibit"
전자렌지,microwave
전쟁,war
전진시키다,to advance
전철역,alt. “subway station”
전체,"total, entirety"
전체적,"entirely,generally"
전하다,"to convey, tell, deliver (message, thing, etc.)"
전혀,never
전화번호,telephone number
절대,"never, absolutely not"
절약,"frugality, savings"
절약하다,to economize
절차,"procedures, steps"
젊음,"youth, youthfulness"
점검,"check-up, inspection"
점수,a score
점심,lunch
점원,a store clerk
점잖다,"to be gentle, very polite"
점점,gradually
점차,"gradually, little by little"
접근,approach
접시,"plate, dish"
정가,regular price
정거장,a bus / train stop
정답,correct answer
정당,a political party
정도,"approximately, about"
정리하다,"to organize, clean up"
정반대,exact opposite
정부,government
정신,"mind, spirit, soul"
정신과,psychiatric
정신없이,mindlessly
정오,"exactly noon, noon"
정원,a garden
정장,a formal outfit
정직하다,to be honest
정치학,political science
정하다,"to decide, make up one's mind"
정확하다,"to be precise, accurate"
젖다,to be wet
젖다,"to get wet, to be soaked"
제공하다,"to provide, offer"
제과점,bakery
제대로,"appropriately, as it should be"
제대하다,to be discharged from military service
제발,please
제사,ancestor worship
제삿날,death anniversary
제스쳐,a gesture
제시하다,to present
제외하다,to exclude
제의하다,"to propose, suggest, offer"
제작,"production, manufacture"
제출,submission (of sth)
제품,manufactured goods
조개,shellfish
조건,"condition, term"
조그마하다,"to be tiny, small"
조그맣다,"to be smallish, tiny"
조금씩,"little by little, gradually"
조기,an early stage
조르다,"to aggravate, badger"
조명,illumination
조미료,"seasoning, MSG"
조사,investigation
조사하다,to investigate
조상,ancestor
조용하게,quietly
조용하다,to be quiet
조용히,silently
조절,a control
조직,"group, organization"
조화되다,to be harmonious
존경하다,"to respect, admire, honor"
존재,presence
존재하다,to exist
졸리다,to be sleepy
졸업생,a graduate of college or university
졸업식,Graduation ceremony
졸업하다,to graduate
졸연하다,to be sudden
졸음,sleepiness
좁다,"to be narrow, cramped"
좁히다,"to narrow, to close on."
종교,religion
종교적,religious
종류,"kind, variety, sort"
종소리,a bell sound
종이,paper
종이봉지,paper bag
종합,"general, multiple"
종합하다,to integrate
좋다,to be good
좋아하다,"like, be fond of"
좌석,seat
좌석주머니,seat pocket
좌회전,a left turn
주거,residence
주관적,subjective
주다,to give
주로,"mainly, usually, for the most part"
주름,wrinkles
주름살,wrinkles
주목하다,to remark
주변,"surrounding, nearby, around a certain area"
주사,"a shot, an injection"
주소,Address
주식,a financial stock
주요,"major, significant"
주위,"near, the neighborhood, the surroundings"
주유소,gas station
주인공,central character
주일,counter for weeks
주장,argument / claim
주장하다,to assert or insist
주전자,a (tea)kettle
주제,"the subject matter, theme"
주택,housing
주한,resident in Korea
죽이다,to kill
줄거리,synopsis
줄다,to decrease
줄무늬,stripped pattern
줄서,passing away
줄어들다,"to decrease, shrink"
줄이다,"reduce, diminish, lessen"
중간,Middle
중간고사,mid-term exam
중계방송,a live broadcasting
중국,China
중년,middle-aged
중단,"interruption, discontinuance"
중단되다,"to be discontinued, interrupted"
중독,an addiction
중세,"middle ages, medieval"
중소기업,small business
중순,the middle third (ten days) of a month
중심,"the center, core"
중요,importance
중학교,middle school
쥐,"mouse, rat"
쥐다,"to grip, to clench"
즉석,impromptu/on the spot
즐거워하다,"to feel happy, enjoy"
즐기다,"to enjoy, enjoy oneself"
증가하다,to increase
증거,"evidence, proof"
증권,a stock certificate
지각,"lateness, tardiness"
지겹다,"to be disgusting, nasty"
지겹다,"to be tedious, wearisome, tiresome"
지구본,globe
지금,now
지금껏,"thus far, until now"
지급,payment
지나가다,to pass by
지나치다,"to go too far, be excessive, beyond bounds"
지난해,last year
지내다,to spend time
지능,"intelligence,intellect"
지니다,"to have, possess"
지다,"to be defeated, lose"
지대,area
지도자,"a leader, mastermind"
지도하다,"to guide, direct, coach, lead"
지르다,"to shout, to yell"
지름길,shortcut
지배하다,"to occupy, control, govern"
지시,"directions, instructions, order"
지식,knowledge
지옥,hell
지원,support
지원자,volunteer
지위,"position, status"
지저분하다,"to be messy, disorderly"
지적,"pointing out, indication"
지점,a branch (office)
지켜보다,to keep an eye on
지키다,"to protect, abide by, guard"
지폐,paper money (currency)
지하도,pedestrian underpass
지하철,subway
지혜,wisdom
직불카드,debit card
직원,an employee
직장,workplace
직장인,an office worker
직접,"in person, directly,  by oneself, with one's own hand"
직후,immediately after
진단하다,to diagnose
진달래,azalea
진동,vibration
진로,"a course (direction), life path"
진료,medical diagnosis and treatment
진리,truth
진실,"truth, reality"
진실로,"in fact, in reality, actually"
진실하다,to be truthful
진심,"sincerity, a true heart, earnest"
진찰,a medical examination
진토닉,gin and tonic
진통,"contractions, labor pains"
진하다,to be deep (color)
진행되다,"to have progressed, to be advanced"
진행자,"a host, MC"
질,quality
질서,"public order,regularity"
질투,jealousy
질투하다,to be jealous
짐,"luggage, baggage"
짐작,"a guess, an assumption"
집다,"to pick, to choose, to select, take a pinch of"
집단,"group, body (of people)"
집중하다,to concentrate
짓,"act, behavior"
짓다,"to build, construct"
짜다,to be salty
짜리,worth
짜증스럽다,to be annoying
쩔쩔매다,"to be at one ́s wit ́s end,be at a loss as to what to do"
쪽,measure word for pieces (of clothing)
쫓겨나다,"to be expelled, to be kicked out"
쭉,straight
찌꺼기,tea or coffee grounds
찌다,to steam
찢다,"to tear, rip, split"
차갑다,to be cold
차남,second oldest son
차라리,"rather, better, first, preferably"
차례,rites honoring ancestors
차리다,"to prepare, make ready, to arrange"
차선,traffic lane
차이,differences
차차,gradually
차창,"car window, train window"
착각하다,to mistake one thing for another
찬성,"agreement, consent"
찬성하다,to agree (on a plan or position)
참,by the way
참견,interference
참기름,sesame oil
