French,English
industriel,industrial
une musique,music
une gestion,management
un honneur,honor
vaste,"vast, immense"
évoquer,"to recall, evoke"
tendre,"to tighten; extend, stretch; (tender)"
une étape,"stage, step"
physique,"physical, (physics)"
accuser,to accuse
parfaitement,perfectly
une méthode,"method, procedure [not ""procédure""]"
fonctionner,"to function, work"
envers,"towards [not ""vers""]"
distribuer,"to distribute, give out [not ""répartir""]"
une existence,existence
prétendre,to pretend
global,global
un/une professeur,"professor, teacher"
un crédit,credit
une tendance,"tendency, trend"
une chaîne,"chain, channel [not ""canal""]"
un dommage,"damage, harm; (too bad) [not ""dégât"" / ""préjudice""]"
une note,"note, grade"
une réserve,reserve
maximum,maximum
un moteur,motor
une version,version
un règlement,"rule, regulation [not ""réglementation""]"
relatif,relative
mercredi,Wednesday
régional,regional
sinon,"otherwise, or else, if not"
entreprendre,"to begin, start, undertake [not ""commencer"" / ""entamer"" / ""débuter""]"
au-delà,beyond
étendre,"to spread out, stretch out, extend"
un couple,couple
profond,deep
décrire,to describe
etc,"etc., et cetera"
récent,recent
une télévision,television
une retraite,"retirement, pension"
une sortie,"exit [not ""issue""]"
une frontière,"border, frontier"
égal,equal
une promesse,promise
entretenir,"to maintain [not ""maintenir""]"
habiter,"to live, inhabit"
un quartier,"district, quarter [not ""circonscription""]"
un art,art
accueillir,"to welcome, greet, accommodate"
libérer,"to free, liberate, release"
vivant,"alive, living"
une université,university
rire,"to laugh [not ""rigoler""]"
un avocat,"lawyer, advocate"
une crainte,"fear [not ""peur""]"
commettre,to commit
précisément,precisely
un soutien,"support [not ""appui"" / ""support""]"
facilement,easily
une urgence,"emergency, urgency"
une clé,"key [not ""clef""]"
jeter,"to throw [not ""lancer""]"
religieux,religious
une analyse,analysis
disponible,available
un regard,"look, glance"
prévenir,"to prevent, warn; (to notify) [not ""empêcher""]"
enlever,"to remove [not ""retirer"" / ""supprimer"" / ""ôter""]"
analyser,to analyse
un mariage,marriage
une couleur,color
témoigner,to testify
sauver,"to rescue, save [not ""épargner""]"
bientôt,"soon [not ""prochainement""]"
une conclusion,conclusion
bleu,blue
dehors,"outside [not ""hors""]"
remercier,to thank
actif,active
réclamer,"to claim, demand; to ask for, call for [not ""demander""]"
parlementaire,parliamentary; (member of parliament)
récemment,recently
un fil,"thread, wire"
collectif,collective
excellent,excellent
un moral,"morale, (moral)"
une habitude,habit
un code,code
puissant,powerful
recueillir,"to collect, gather [not ""ramasser""]"
fabriquer,"to manufacture, invent, make"
un représentant,representative
un accident,accident
extraordinaire,extraordinary
dimanche,Sunday
vérifier,"to check, verify"
une envie,"envy, desire, wish [not ""désir""]"
enregistrer,"to record, check in, register"
rare,rare
un parc,park
un impôt,tax
sud,south
efficace,"efficient, effective"
intéressant,interesting
une île,island
une cité,"city [not ""ville""]"
moderne,modern
voter,to vote
un traité,treaty
une libération,liberation
nourrir,"to feed, nourish"
sérieusement,"seriously [not ""gravement""]"
une carrière,career
immédiat,immediate
exceptionnel,exceptional
rechercher,"to look for, search (for) [not ""chercher""]"
palestinien,Palestinian
des bras,arm
un producteur,producer
garantir,to guarantee
un geste,gesture
un roman,novel; (Romanesque)
une augmentation,"increase, rise [not ""hausse"" / ""accroissement""]"
lendemain,next day
un policier,policeman
une échelle,"ladder, scale"
supplémentaire,"additional [not ""additionnel""]"
pratiquer,to practice
une pensée,thought
un facteur,"(postman, mailman;) factor"
néanmoins,"nevertheless [not ""pourtant""]"
bénéficier,to benefit
vingt,twenty
revoir,"to see again, revise"
extrême,extreme
un défaut,"fault, flaw, shortcoming"
précieux,precious
un retard,"delay [not ""délai""]"
une démocratie,democracy
renforcer,"to reinforce, strengthen"
un silence,silence
une perspective,"perspective, viewpoint"
qualifier,to qualify
absolu,absolute
dégager,"to free, clear [not ""débarrasser / ""débloquer""]"
une stratégie,strategy
un bateau,"boat, ship [not ""navire"" / ""vaisseau""]"
une troupe,"troup, troop"
une course,"race, shopping"
un exercice,exercise
fondamental,fundamental
un visage,face
un printemps,spring
une machine,machine
un village,"village [not ""localité""]"
britannique,British
surveiller,"to watch, supervise [not ""observer""]"
une édition,"publishing, editing, edition"
une droite,"right (opposite of left), straight line"
un organisme,organism
une leçon,lesson
décevoir,to disappoint
une bataille,battle
un port,"harbour, port"
une naissance,birth
majeur,major
accomplir,to accomplish
un hôpital,hospital
un circuit,circuit
terrible,"terrible, dreadful [not ""épouvantable"" / ""affreux""]"
un degré,degree
une exigence,"demand, strictness, exigency"
un rêve,dream
un froid,cold
opérer,"to operate, carry out"
entièrement,"entirely, completely [not ""complètement""]"
un chapitre,chapter
quotidien,daily
clairement,clearly
inspirer,to inspire
léger,light [weight]
permanent,permanent
un/une juge,judge
un/une après-midi,afternoon
joindre,to join
juillet,July
ordinaire,ordinary
un candidat,candidate
rapprocher,"to bring closer, get closer"
une résistance,resistance
russe,Russian
justement,"exactly, rightly, precisely"
un habitant,inhabitant
une formule,"formula, expression"
un mur,wall
un tribunal,"court (law), tribunal (military)"
fier,to rely on; proud
manger,to eat
soulever,to lift up
évidemment,"obviously, evidently [not ""visiblement""]"
un travailleur,"worker [not ""œuvrer"" / ""bosser""]"
une résolution,resolution
un/une journaliste,journalist
une marque,"brand, mark"
une utilisation,"use [not ""usage""]"
une offre,offer
habituel,"customary, habitual"
survivre,to survive
populaire,popular
un dirigeant,"leader [not ""leader""]"
une participation,participation
une évolution,evolution
totalement,totally
gérer,to manage
une constitution,constitution
informer,to inform
fou,"mad, crazy"
attacher,"to attach [not ""r...""]"
renouveler,to renew
asseoir,"to sit [not ""siéger""]"
samedi,Saturday
un transfert,transfer
renoncer,"to give up, renounce [not ""abandonner"" / ""céder""]"
un roi,king
soi,"one, oneself, self"
un téléphone,telephone
oh,oh
une foi,faith
un motif,"motive, purpose"
plaindre,"to pity, feel sorry for, complain"
une tradition,tradition
net,clear; (Internet)
une victoire,victory
un arrêt,"stop, arrest [not ""arrestation""]"
un concours,"entrance exam, competition"
vis-à-vis,"face to face, regarding"
un institut,institute
visiter,to visit
elle-même,"herself, itself"
démocratique,democratic
une tentative,"attempt [ not ""essai""]"
largement,widely
aboutir,"to succeed, end up at [not ""réussir"" / ""succéder""]"
désirer,to desire
une côte,coast
une génération,generation
un vent,wind
une technologie,technology
échouer,to fail
un dépit,"spite, heartache"
un équilibre,"balance, equilibrium"
inquiet,"worried, anxious [not ""soucieux""]"
un obstacle,obstacle
une réflexion,reflection
inquiéter,"to worry, disturb [not ""préoccuper""]"
affecter,to affect
une revanche,"revenge; return [not ""vengeance""]"
ressembler,"to look like, resemble"
une station,station
uniquement,"only [not ""seulement""]"
supporter,"to support, endure [not ""endurer""]"
une catégorie,category
une mine,"mine; appearance, look, mien [not ""air"" / ""apparition"" / ""apparence""]"
législatif,legislative
ah,"ah, oh"
un/une propriétaire,owner
favoriser,"to favor [not ""privilégier""]"
privé,private
un avion,plane
minimum,minimum
un criminel,criminal
une photo,photo
précéder,to precede
solide,solid
une priorité,priority
un navire,"ship [not ""vaisseau"" / ""bateau""]"
une centaine,about hundred
une explication,explanation
transmettre,"to forward, transmit"
un appareil,"apparatus, device, appliance [not ""dispositif""]"
correspondre,to correspond
associer,to associate
un trait,"line, feature, trait"
une référence,reference
un bois,wood
une publication,publication
un symbole,symbol
une consommation,consumption
idéal,ideal
un chômage,unemployment
un courage,courage
identifier,to identify
un entretien,"interview, discussion, maintenance [not ""entrevue"" / ""interview""]"
encourager,to encourage
un kilomètre,kilometer
dérouler,"to unwind, unroll"
une identité,identity
une reconnaissance,"recognition, gratitude"
signaler,"to indicate, signal [not ""indiquer""]"
une division,division
un contexte,context
coupable,guilty; (culprit)
favorable,favorable
un amendement,amendment
août,August
attribuer,"to attribute, award, grant"
courir,to run
un examen,exam
un personnage,"character, individual [not ""caractère"" / ""individu""]"
une obligation,"obligation, bond"
inconnu,unknown
échanger,to exchange
un montant,"upright, upwards, sum, total"
éliminer,to eliminate
dénoncer,to denounce
un tableau,"frame, picture, painting, panel"
exclure,to exclude
un meurtre,murder
un exemplaire,"copy, (exemplary) [not ""copie""]"
une propriété,property
final,final
un site,"site [not ""emplacement""]"
une séance,"session, meeting [not ""session""]"
une ouverture,opening
élire,to elect
une baisse,"fall, drop [not ""chute""]"
une inquiétude,"worry, anxiety [not ""souci""/""préoccupation""]"
israélien,Israeli
une représentation,representation
une durée,"length, duration [not ""longueur""]"
un mandat,"term, mandate"
quinze,fifteen
vide,"empty, void"
un statut,status
un essai,"attempt, try, test, essay [literature]"
pareil,"similar, likewise; (peer, equal) [not ""semblable"" / ""similaire"" / ""analogue""]"
italien,Italian
suggérer,to suggest
interrompre,to interrupt
au-dessus,"above [not ""d..."" / ""l...""]"
une agence,agency
une usine,factory
unir,to unite
sourire,"(smile), to smile"
un employé,"employee [not ""salarié""]"
un sommet,summit
franchir,to get over
évident,"obvious, evident"
un comportement,behavior
une fête,"holiday, celebration"
un rang,"rank, row"
écarter,"to separate, move apart, keep away [not ""séparer""]"
une vague,"wave [not ""onde""]"
une réduction,reduction
culturel,cultural
une coopération,cooperation
un sol,"floor, ground, soil [not ""étage"" / ""plancher""]"
d'autant,"since, accordingly, in proportion"
un leader,"leader [not ""dirigeant""]"
une taille,"size, height, waist"
une vertu,virtue
une distance,distance
un automne,"fall, autumn"
arrière,"back, rear"
une vision,"vision, view"
investir,to invest
diminuer,"to diminish, decrease"
un contenu,"contents [not ""teneur""]"
entourer,to surround
juif,"Jew, Jewish"
considérable,"considerable, significant [not ""formidable""]"
une conduite,"conduct, behavior, driving"
une convention,"agreement, convention [not ""accord""]"
réfugier,to take refuge
prolonger,"to prolong, extend"
verser,"to pour, deposit, shed"
une évidence,evidence
essentiellement,essentially
démontrer,"to demonstrate [not ""manifester""]"
communiquer,to communicate
une approche,approach
un délai,"delay [not ""retard""]"
accroître,"to increase [not ""augmenter "" / ""hausser"" / ""grandir"" / ""croître""]"
un bruit,noise
une humanité,humanity
une radio,radio
moi-même,myself
négatif,negative
prudent,"prudent, careful, cautious"
une soirée,evening [duration]
un vol,"flight, theft"
marcher,to walk
tiers,third [fraction]
un mètre,meter
un syndicat,"union [ not ""union""]"
occidental,western
suffisant,sufficient
un ciel,sky
tromper,to deceive
modeste,modest
éloigner,"to move away, take away, distance"
aborder,"to reach, approach [not ""approcher""]"
malheureusement,unfortunately
évaluer,to evaluate
extrêmement,extremely
interne,"internal, interior, (intern)"
voire,"even, indeed"
une seconde,second [unit of time]
des messieurs,gentlemen
effectivement,"effectively [not ""efficacement""]"
un gaz,gas
un acteur,actor
adapter,to adapt
un témoignage,testimony
une dépense,"expense, expenditure"
un souci,"worry, concern [not ""inquiétude"" / ""préoccupation""]"
un expert,expert
une sœur,sister
relativement,relatively
comparer,to compare
une cour,"yard, court"
provenir,"to be from, come from"
réellement,"really [not ""vraiment"" / ""véritablement""]"
conscient,"conscious, aware"
céder,"to give up, give way [not ""abandonner"" / ""renoncer""]"
médical,medical
un procès,"trial, proceedings"
une colère,anger
un patient,patient
une notion,notion
un siège,"seat, bench, siege"
une hausse,"rise, raise, increase [not ""augmentation"" / ""accroissement""]"
diviser,to divide
traditionnel,traditional
un quart,quarter
approcher,"to approach [not ""aborder""]"
un trafic,"traffic, circulation [not ""circulation""]"
catholique,Catholic
un mécanisme,mechanism
adulte,adult
reprocher,"to reproach, blame [not ""blâmer""]"
un métier,"job, occupation, trade"
une modification,modification
peser,to weigh
des médias,media
un foyer,"home, hearth [not ""domicile""]"
une définition,definition
spécialiste,specialist
un mari,husband
supprimer,"to remove, withdraw, suppress [not ""retirer"" / ""enlever"" / ""ôter""]"
guère,hardly
douter,to doubt
un hiver,winter
sexuel,sexual
consulter,to consult
un renseignement,"information [not ""information""]"
âgé,"old [not ""vieux""]"
ressentir,"to feel, (suffer)"
un fonctionnement,"operation, functioning [not ""exploitation""]"
un garçon,boy
parfait,perfect
une prévision,"forecast, prediction, expectation"
quatrième,fourth
une fenêtre,window
incapable,"incapable, incompetent"
hésiter,to hesitate
résumer,"to summarize, sum up"
universel,universal
une jeunesse,"youth, youthfulness"
voler,"to steal, rob [not ""dérober""]"
résister,to resist
profondément,"profoundly, deeply"
une menace,threat
inutile,useless
un refus,refusal
un poisson,fish
une révolution,revolution
une séparation,separation
avouer,"to admit, avow [not ""admettre""]"
saluer,"to greet, salute"
un fer,iron
familial,family
un cinéma,cinema
un prisonnier,"prisoner, captive [not ""détenu""]"
armé,armed
un enseignement,"education, teaching"
étonnant,"surprising, amazing, incredible, astonishing [not ""surprenant""]"
une dizaine,approximately ten
dessus,"on it; above, on top [not ""a..."" / ""l...""]"
un calcul,calculation
un/une fonctionnaire,"state employee, public servant"
une instruction,"instruction, direction [not ""direction""]"
pratiquement,practically
oser,to dare
rassembler,"to gather together, assemble [not ""réunir""]"
achever,"to complete, finish, end [not ""terminer"" / ""finir""]"
fiscal,fiscal
une démarche,"walk, process [not ""processus"" / ""procédé""]"
corriger,to correct
un volume,volume
une réussite,"success [not ""succès""]"
un désir,desire
une réalisation,"realization, achievement"
une exportation,export
prier,to pray
trente,thirty
une âme,soul
dominer,to dominate
pur,pure
un instrument,instrument
une indépendance,independence
un tort,wrong
une hauteur,height
critiquer,to criticize
une autorisation,"authorization, permission, permit"
une assurance,"insurance, confidence, assurance"
un déficit,deficit
évoluer,to evolve
une drogue,drug
concret,concrete
une attaque,"attack [ not ""attentant""/""atteinte""/""assaut""]"
un rythme,"rhythm, rate"
approuver,to approve
douze,twelve
juridique,"legal, judicial, juridical, jural"
espagnol,Spanish
une saison,season
percevoir,to perceive
une hypothèse,hypothesis
relier,"to connect [not ""connecter""]"
un financement,financing
un dos,back
un consommateur,"consumer, customer"
une épreuve,"test, ordeal, trial"
volontaire,"volunteer; voluntary [not ""bénévole""]"
négocier,to negotiate
une finance,finance
rêver,"to dream [not ""songer""]"
indien,Indian
une quantité,quantity
soviétique,Soviet
persuader,"to convince, persuade [not ""convaincre""]"
interpréter,to interpret
annuel,annual
un commentaire,"comment, remark [not ""propos""/""remarque""]"
marier,"to marry [not ""épouser""]"
un spectacle,"sight, show, spectacle"
un pari,bet
définitif,"definitive, final"
ouest,west
un sexe,sex
eh,"hey, uh [not ""hé""]"
un recours,"resort, recourse [not ""ressort""]"
un accent,accent
introduire,to introduce
communiste,communist
célèbre,"famous, celebrated [not ""fameux"" / ""réputé""]"
une couverture,"blanket, cover, coverage"
une religion,religion
un appui,"support [not ""soutien"" / ""support""]"
un concert,concert
saint,"saint, holy"
conséquent,"consistent, logical, rational"
un équipement,equipment
descendre,"to go down, come down, descend"
un théâtre,theater
une marge,margin
un abri,shelter
une recette,recipe
généralement,generally
une vigueur,vigor
un patron,boss
un soleil,sun
électoral,electoral
un ennemi,enemy
une bourse,"purse, scholarship"
une dimension,dimension
baser,to base
un dialogue,dialogue
un thème,"theme, topic"
circuler,"to drive, circulate [not ""conduire""]"
un/une porte-parole,"spokesperson, spokeswoman, spokesman"
une présentation,presentation
déployer,"to deploy, open"
un outil,tool
une vacance,vacancy; vacation
suffisamment,sufficiently
un défi,"challenge, defiance"
un front,"front, forehead [not ""façade""]"
suspendre,"to suspend, postpone"
une forêt,forest
une montagne,mountain
sévère,severe
apparemment,apparently
une présidence,presidency
un magasin,store
un/une commissaire,"superintendent, commissioner"
calme,calm
monétaire,monetary
un ouvrage,"work [not ""travail"" / ""oeuvre"" / ""tâche""]"
une réputation,reputation
un cabinet,"cabinet, agency, office"
un écart,"space, gap [not ""espace""]"
un chien,dog
un écrivain,writer
indispensable,"essential, indispensable [not ""essentiel""]"
une conversation,conversation
une surface,surface
féliciter,to congratulate
sûrement,surely
une surveillance,"surveillance, monitoring"
une efficacité,"efficiency, effectiveness"
un euro,euro
une phase,phase
une confusion,"confusion, mix-up"
une précision,"precision [not ""justesse""]"
une bombe,bomb
un bilan,"balance sheet, outcome"
immense,immense
massif,massive
une chute,"fall, drop, scrap [not ""baisse""]"
constant,constant
une compétence,competence
intégrer,to integrate
aérien,aerial
contrairement,contrary
une pierre,stone
socialiste,socialist
sain,"healthy, sane"
régulier,regular
une boîte,box
financer,to finance
une théorie,theory
un hôtel,hotel
nier,"to deny [not ""démentir""]"
un phénomène,phenomenon
là-bas,"over there, out there"
étonner,"to astonish, amaze"
une totalité,"totality, entirety"
un sort,"fate, curse [not ""destin"" / ""destinée""]"
accéder,"to access, reach, attain [not ""atteindre""]"
une église,church
fortement,strongly
doter,"to endow, provide [not ""fournir"" / ""pourvoir""]"
une contribution,contribution
une profondeur,depth
émettre,"to emit, issue"
un test,test
récupérer,"to get back, recover, recuperate"
une pêche,fishing; peach
une découverte,discovery
potentiel,potential
agricole,"agricultural, farming"
intellectuel,intellectual
une essence,"gas, petrol, essence [not ""pétrole""]"
pencher,"to lean, tilt [not ""appuyer""]"
un vice-président,vice-president
un coin,corner
une tension,tension
un don,"gift, donation, talent [not ""cadeau""]"
un/une artiste,artist
fidèle,"faithful [not ""loyal']"
une grève,strike
un achat,purchase
mentionner,to mention
une exécution,"execution, accomplishment"
uniforme,"uniform, steady, regular"
exploiter,to exploit
administratif,administrative
effectif,"effective; (size, workforce)"
communautaire,"community, communal"
individuel,individual
distinguer,to distinguish
original,original
une surprise,surprise
veiller,"to stay up, look after"
une dette,debt
une capitale,"capital city, capital letter"
faciliter,"to make easier, facilitate"
chanter,to sing
une pension,"pension; room and board, boarding school"
une revue,"review, magazine, journal"
clore,to close
une neige,snow
une figure,"figure, face"
une masse,mass [bulk]
un maintien,"holding, maintaining"
étroit,"narrow, tight"
un goût,taste
une prestation,"benefit [not ""bénéfice""]"
régner,to reign
une catastrophe,"catastrophe, disaster [not ""désastre""]"
ressortir,"to go out again, come out again, take out again"
susceptible,"sensitive, touchy [not ""sensible""]"
une manifestation,"demonstration, event [not ""démonstration""]"
dormir,to sleep
un lit,bed
une bouche,"mouth [not ""gueule""]"
une excuse,"excuse, apology"
une veille,"the day before, the eve of, night watch"
content,"glad, pleased, happy, content"
une exploitation,"operation, exploitation [not ""fonctionnement""]"
triste,sad
latin,Latin
classique,classic
une alliance,alliance
une préoccupation,"worry, concern, preoccupation [not ""inquiétude""/""souci""]"
une trace,"trace, mark, track [not ""piste""/""rail""]"
un logement,flat; accommodation
rassurer,"to reassure, calm down"
une plainte,"moan, groan, complaint"
chaud,"warm, hot [mpt ""chaleureux""]"
taire,to keep quiet
une émotion,"emotion, feeling"
judiciaire,judiciary
progresser,to progress
un langage,"language [not ""langue""]"
confronter,to confront
strict,"strict, absolute [not ""absolu""]"
un club,club
un ouvrier,"worker [not ""travailleur""]"
une souffrance,suffering
une observation,observation
rétablir,"to restore, re-establish"
un secours,"help, aid, assistance, rescue [not ""aide""/""renfort""]"
une passion,passion
une rupture,"break, rupture"
un office,"office, bureau [not ""bureau""]"
compliquer,to complicate
assumer,"to assume [not ""supposer""]"
éprouver,"to feel, experience, test"
un immeuble,building; (immovable)
un rendez-vous,appointment
un argument,argument
une planète,planet
partiel,partial
délicat,"delicate, fine, gentle"
un attentat,"attack, assassination attempt [not ""attaque""/""atteinte""/""assaut""]"
boire,to drink
une richesse,"wealth, richness"
une caisse,"till, cash desk"
un hasard,"chance, luck [not ""chance""]"
un héros,hero
un maire,mayor
un incident,incident
un café,"coffee, café"
une annonce,announcement
régulièrement,regularly
une oreille,ear
foutre,"to f*ck, shove off"
apercevoir,"to see, notice [not ""noter""]"
refléter,"to reflect [not ""réfléchir""]"
bouger,"to move, shift, budge"
une foule,crowd
chrétien,Christian
isoler,"to isolate, insulate"
un pont,bridge
une égalité,equality
une tenue,"dress, outfit [not ""robe""]"
animer,"to lead, conduct, animate"
une norme,"norm, standard"
une piste,"track, trail [not ""trace""/""rail""]"
préserver,to preserve
un hommage,"homage, tribute"
inférieur,inferior
un match,"match, game"
une statistique,"statistics, statistical"
gouvernemental,governmental
exécuter,"to execute, carry out"
une tragédie,tragedy
une distribution,distribution
un scandale,"scandal, uproar"
une pointe,"point, tip (feminine)"
chinois,Chinese
un bénéfice,"benefit, profit [not ""profit"" / ""prestation""]"
un billet,ticket
un choc,"shock, clash"
une proportion,proportion
irakien,Iraqi
briser,to break [b...]
une destruction,destruction
reculer,"to move back, back up, retreat, reverse [not ""renverser"" / ""inverser""]"
un critère,"criterion, criteria"
un gardien,"guardian, keeper"
une adresse,address
un canal,"canal, channel [not ""chaîne""]"
conservateur,conservative
ouais,yeah
transporter,"to transport, carry"
brûler,to burn
une manœuvre,manoeuvre
une monnaie,"currency, coin, change [not ""devise""]"
une réception,"reception [not ""accueil""]"
quelconque,"any, some [not ""quelque""]"
un courrier,"mail, post"
grandir,"to grow, increase, expand [not ""augmenter"" / ""accroître"" / ""hausser"" / ""croître""]"
élaborer,"to work out, develop, elaborate"
un doigt,finger
illustrer,to illustrate
une poche,pocket
une transmission,"transmission [not ""émission""]"
éclater,"to burst, explode [not ""exploser""]"
une honte,shame
une faiblesse,weakness
une fédération,federation
presser,"to squeeze, press [not ""serrer""]"
affronter,"to confront, face"
un bonheur,happiness
formuler,to formulate
crier,"to shout, scream, cry out"
une pauvreté,"poverty [not ""misère""]"
un bâtiment,building
un époux,"husband, spouse [not ""conjoint""]"
mêler,"to mingle, mix"
une firme,firm
élargir,"to widen, expand [not ""agrandir""]"
un électeur,"elector, voter"
plonger,"to dive, plunge"
un véhicule,vehicle
fuir,to flee
un chercheur,researcher
un médicament,"medicine, drug, medication"
une personnalité,personality
inventer,to invent
principalement,"principally, mainly, primarily"
une prudence,"prudence, care, caution"
un stade,"stadium, stage, stadium"
une liaison,"liaison, connection"
varier,"to vary, change [not ""changer""]"
québécois,"Quebecker, Quebecer, Québécois"
ordonner,"to ordain, organize, order [not ""commander""]"
bonjour,hello
une morale,ethics; moral
contester,"to contest, question [not ""interroger"" / ""questionner""]"
nécessairement,necessarily
une détermination,"determination, resolution"
un congrès,"congress, conference [not ""conférence""]"
semblable,"similar [not ""similaire"" / ""analogue"" / ""pareil""]"
préoccuper,"to worry, preoccupy [not ""inquiéter""]"
un dépôt,"deposit, depot [not ""caution""]"
une consultation,consultation
multiplier,to multiply
une dame,"lady [not ""madame""]"
une joie,joy
durable,"durable, long-lasting"
une faim,"hunger, hungry"
une considération,consideration
recommander,to recommend
un concept,concept
un cerveau,brain
un truc,trick; thingamajig
allié,allied; (ally)
excuser,to excuse
arabe,"Arabic, Arab"
diffuser,"to diffuse, broadcast"
budgétaire,budgetary
inquiétant,"worrying, disturbing"
inclure,to include
scolaire,"school, educational, academic"
un style,style
combler,"to fill, fill in, fulfill [not ""remplir""]"
annuler,"to cancel, annul"
un joueur,player
bloquer,to block
une interprétation,interpretation
une ombre,"shade, shadow"
un séjour,stay
guider,to guide
spécialiser,to specialize
bien,well
un sport,sport
un climat,climate
une douleur,pain
une issue,"exit, outcome [not ""sortie""]"
généreux,generous
absent,absent
un talent,talent
normalement,normally
une amélioration,improvement
détourner,"to redirect, divert"
raisonnable,"reasonable, fair"
suprême,supreme
éventuel,"possible [not ""possible""]"
blesser,to hurt
une orientation,"orientation, trend"
une remarque,"remark [not ""propos""/""commentaire""]"
secondaire,secondary
reporter,to report; to postpone
un partisan,"partisan, supporter"
cinquième,fifth
une distinction,distinction
un impact,impact
grec,Greek
compléter,to complete
un mérite,merit
naturellement,naturally
une collaboration,collaboration
procurer,"to get, bring, procure [not ""apporter""/""amener""/""obtenir""]"
un/une officier,officer; (officiate)
un magazine,"magazine [not ""journal""]"
s'efforcer,"to endeavor [not ""tâcher""]"
tragique,tragic
un anniversaire,"anniversary, birthday"
issu,descended from
une poursuite,"chase, pursuit [not ""chasse""]"
nôtre,"ours, our own"
éclairer,"to light up, enlighten"
remarquable,"remarkable, outstanding"
un infirmier,nurse
une caractéristique,characteristic
dépenser,to spend
censé,supposed
une fuite,"escape, flight"
une conviction,"conviction, belief [not ""croyance""]"
nettement,"clearly, distinctly [not ""clairement"" / ""distinctement""]"
consommer,"to eat, consume, drink, use, consummate"
une évaluation,evaluation
une installation,"installation, setup"
innocent,innocent
fameux,"famous [not ""célèbre"" / ""réputé""]"
cultiver,"to cultivate, grow"
détenir,"to hold, detain [not ""t...""]"
gouverner,"to govern, rule, steer, helm [not ""régir""]"
jouir,to enjoy
parcourir,"to cover, travel [not ""voyager""]"
un bloc,block
électrique,electric
un seuil,"doorstep, threshold"
doux,"soft, sweet [not ""mou""]"
classer,"to classify, file, grade, rate"
une audience,"audience, hearing"
multiple,multiple
une minorité,minority
une phrase,"sentence, phrase"
croissant,"growing, crescent, crescent-shape"
hein,"eh, huh"
une disparition,disappearance
dynamique,dynamic
renverser,"to knock down, turn over, overturn, reverse [not ""reculer"" / ""inverser""]"
un trouble,"turmoil, agitation, blurred, cloudy, trouble"
désoler,"to upset, sadden, distress [note ""bouleverser""]"
provisoire,"temporary, provisional"
une littérature,literature
résider,to reside
un adolescent,"teenager, adolescent"
dessiner,"to draw, design [not ""tracer"" / ""puiser""]"
rompre,to break [r...]
une agriculture,agriculture
accélérer,"to speed up, accelerate"
une aventure,adventure
armer,to arm
un volet,shutter
bâtir,to build
une prime,"free gift, premium, bonus"
résulter,to result
un gouverneur,governor
japonais,Japanese
emmener,"to take [not ""prendre"" / ""emporter""]"
alimentaire,"food, alimentary [not ""nourriture"" / ""aliment"" / ""alimentation""]"
une occupation,"occupation, pastime"
un lecteur,reader
intermédiaire,"intermediate, intermediary"
un vœu,"vow, wish, will [not ""serment""]"
dresser,"to draw up, put up, raise [not ""rédiger""]"
une conception,conception
afficher,"to display [not ""exposer"" / ""manifester"" / ""étaler""]"
un marin,sailor
une satisfaction,satisfaction
survenir,"to occur, take place, appear"
une publicité,"advertising, advertisement, publicity [not ""promotion"" / ""publicitaire""]"
un arbre,tree
un univers,universe
fragile,"fragile, delicate, frail"
sauter,"to jump, skip"
une chasse,"chase, hunt, hunting [not ""poursuite""]"
un collège,"secondary school, college"
une garantie,guarantee
un morceau,"piece, bit"
un aéroport,airport
une discipline,discipline
une explosion,explosion
une peau,skin
une commande,"order, control [not ""contrôle""]"
orienter,"to position, give advice, direct, orientate"
reproduire,"to reproduce, repeat"
un salarié,"employee (wage-earning) [not ""employé""]"
radical,radical
transférer,to transfer
une diffusion,"diffusion, spreading, circulation"
spécialement,"especially, particularly, specially [not ""surtout"" / ""particulièrement""]"
croître,"to grow, increase [not ""augmenter"" / ""accroître"" / ""hausser"" / ""grandir""]"
un paragraphe,paragraph
une copie,"copy, replica, paper [not ""réplique""]"
enseigner,to teach
rédiger,"to draw up, write [not ""dresser"" / ""écrire""]"
magnifique,magnificent
initial,initial
un indice,"indication, sign, clue [not ""indication""]"
une promotion,"promotion, advertising [not ""publicité"" / ""publicitaire""]"
tolérer,"to tolerate, access, put up, bear, endure"
une section,section
une chanson,"song [not ""chant""]"
un pair,"peer, (at par, even)"
contraindre,"to compel, force, constrain [not ""forcer""]"
trancher,"to cut, sever, settle, decide"
réformiste,reformist
une branche,branch
réjouir,"to delight, rejoice"
punir,to punish
repartir,"to set off again, start up again"
une cellule,cell
déclencher,"to trigger, release, unleash"
uni,united
retarder,"to delay, hold up [not ""tarder""]"
écouler,"to sell, run off, flow out"
une option,option
un pétrole,"crude oil, petroleum"
un laboratoire,laboratory
étrange,"strange, odd [not ""bizarre""]"
coucher,"to lie down, sleep [not ""dormir""]"
une connexion,connection
un génie,genius
une profession,profession
une rumeur,rumour
mien,mine
drôle,"funny, strange, (rascal, rogue) [not ""amusant""]"
un plat,"dish, (flat)"
une maman,mom
un département,department
célébrer,"to celebrate [not ""fêter""]"
une dignité,dignity
légitime,legitimate
une philosophie,philosophy
un verre,glass
spécifique,specific
un docteur,"doctor [not ""médecin""]"
une incertitude,uncertainty
une fréquence,frequency
urgent,urgent
un trou,"hole [not ""creux""]"
stratégique,strategic
mental,mental
