Russian,English
прокладывать/проложить,"to lay, construct (a road) (+a)"
вечный,eternal
прощальный,"farewell (adj), parting"
январь,January
обнаруживать/обнаружить,to reveal; discover (+a)
особенный,"special, particular"
придумывать/придумать,"to think up, invent (+a)"
редакция,editorial office; editing
собственность,property (something owned)
психология,psychology
передаваться/передаться,to be transmitted
строго,strictly
угроза,threat
кольцо,ring (i.e. small hoop)
уничтожать/уничтожить,to destroy; do away with (+a)
груз,load; cargo
здоровый,healthy
кончать/кончить,to finish; graduate (+a)
мешок,"bag, sack"
убеждаться/убедиться (в +pr),"to convince oneself, become sure (of sth)"
мост,bridge
смена,changing; shift (e.g in factory); replacement
телега,cart
тип,"type; (coll) bloke, fellow"
торопиться/по-,"to hurry, be in a hurry"
снимок,photograph
физический,physical
обида,"offence, insult"
весть,piece of news
говориться,to be said
девять,nine
заканчивать/закончить,to finish (+a)
круглый,round
мораль,"morals, morality; moral (of a story)"
немножко,"(coll) a little, a bit"
обыкновенный,usual; ordinary
окончательно,"finally, definitively"
погодить,to wait a little
водка,vodka
по-моему,in my opinion; as I would have it
помощник,assistant
пьяный,drunk
соединение,"joining, combination; joint, join (tech)"
толпа,crowd
старинный,ancient
ударять/ударить,"to strike, hit (+a)"
столовая,"dining-room; canteen, refectory"
хуже,worse
единый,"single, sole; united"
полевой,field (adj)
злой,"evil, wicked; bad-tempered, fierce [not дурной]"
назначение,appointment (to a post); purpose (for which sth is intended)
осень,autumn
пар,steam
читать/прочесть,to read (+a)
собственно,"strictly, properly; in essence"
лететь/по-,to fly
сухой,dry
готовить/при- (+a),to prepare; cook
держава,power (powerful country)
заставлять/заставить,"to force, compel (s.o. to do sth) (+a +inf)"
колесо,wheel
пропасть,"precipice, abyss"
нечто,something (=что-то)
полагать,"to suppose, think"
северный,"north, northern"
удивительный,"surprising, astonishing"
свежий,fresh
участник,participant
хозяйка,"owner, proprietress; hostess"
чей,whose
беспокоиться/о- (о +pr),"to worry, be worried (about)"
во-первых,"firstly, in the first place"
собирать/собрать,"to gather, collect (+a)"
выражение,expression
горе,"grief, sorrow"
детство,childhood
доллар,dollar
доля,"portion, share; lot, fate"
итог,"sum, total"
коридор,corridor
ныне,now; today (mostly bookish)
признавать/признать,to admit; recognize
бомба,bomb
среда,"Wednesday; environment, milieu"
училище,college (vocational)
бюро,office
высший,"highest, supreme"
дедушка,grandfather
заседание,"meeting, conference, session"
ключ,"key; spring, source"
действительность,reality; validity (of a document)
кресло,armchair
оставлять/оставить,"(+a) to leave (sth), abandon"
останавливать/остановить,to stop (sth) (+a)
погода,weather
решительно,"resolutely; definitely, absolutely"
поступать/поступить,to act; (в +a) enter (organization)
отмечать/отметить,"to mark, note, record, mention; celebrate (+a)"
режим,"regime; rules, regulations; diet"
сравнение,comparison
пятница,Friday
странно,strangely; it is strange
занавес,(heavy) curtain
строгий,"strict, severe"
заключать/заключить,to conclude; enclose; imprison (+a)
стыдно,it is shameful; (+d of person X) X is ashamed
танец,dance
больно,painfully; it is painful
добро,"good, good deeds; goods (coll)"
путешествовать/по-,to travel
когда-то,"at some time, at one time"
нынешний,"present, present-day"
обстоятельство,circumstance
ох,"oh, ah (expressing regret, annoyance)"
переходить/перейти,"to cross, go over (+a or через +a)"
привыкать/привыкнуть (к +d),to get used to; get into the habit of
кончаться/кончиться,"to end, come to an end"
присылать/прислать,to send (+a)
противник,"opponent, adversary"
миллиард,"1,000,000,000 (American billion)"
реальный,real; realistic
спичка,"match, match stick"
творческий,creative
установка,installation; purpose
воздушный,air (adj)
захватывать/захватить,"to take, grasp; seize (+a)"
всюду,everywhere
журналист,journalist
торговля,trade
звонить/по- (+d),"to ring, telephone (s.o.)"
конкретный,"concrete, specific"
кричать/крикнуть,to shout
март,March (month)
множество,large number
отправлять/отправить,to send off (+a)
противоречие,contradiction
звание,title; calling
резкий,sharp
сомнение,doubt
темп,"rate, speed"
труба,pipe
внимательно,attentively
погибать/погибнуть,to perish
лишний,"extra, spare"
академик,academician
порог,threshold
прибывать/прибыть,to arrive (formal); (coll) increase
тюрьма,prison
просьба,request
состояться,to take place
творчество,creative work
университет,university
битва,battle
взрослый,adult
капля,drop
контроль,checking (noun)
многое,much
пункт,point
непонятный,incomprehensible
осуществление,carrying out
прогресс,progress
редкий,rare
содержать,to contain
уважение,respect
ужас,horror
цветной,coloured
шар,sphere
нижний,lower
врать/со-,to tell lies; talk nonsense
дама,lady
демократия,democracy
деревянный,wooden
истина,truth
исчезать/исчезнуть,to vanish; disappear
каменный,stone (adj)
оттуда,from there
поведение,behaviour
вести/по- (+a),to lead
любимый,favourite
стоять/по-,to stand; p: to stand for a while
потребность,need
рукав,sleeve
соединённый,united
трудиться/по-,to labour
фамилия,surname
шуметь,to make a noise
активный,active
библиотека,library
ездить/по-,to travel
лезть/по-,to climb
печка,stove
внезапно,suddenly
понятный,comprehensible
образовывать/образовать,to form (+a)
правило,rule
ящик,"box, crate"
прозрачный,transparent
торговый,trade (adj)
шинель,greatcoat
шутить/по-,to joke
шутка,joke
авторитет,authority
болеть,to be ill; hurt
вечерний,evening (adj)
планета,planet
разглядеть,"to make out, perceive (+a)"
видный,eminent
гулять/по-,to take a walk; (coll) take time off
раздел,division; section
подбегать/подбежать (к +d),to run up (to)
звук,sound
двенадцать,twelve
звучать/про-,to sound
командовать (+inst),to command (sth)
непременно,"without fail, certainly"
зверь,wild animal
низко,low
образовываться/образоваться,to be formed
курить/по-,to smoke
острый,sharp
полоса,strip
святой,sacred; saint
означать,to mean
середина,middle (noun)
случайно,by chance
сутки,24 hours
убегать/убежать,to run away
шапка,hat (without brim)
агрессия,aggression
питание,"feeding, food"
благодаря (+d),thanks to
подъём,rise
зло,evil (noun)
кругом,around
нередко,often
обед,meal; dinner
поддержка,support [not опора]
крыльцо,entrance steps; porch
причём,and furthermore
сущность,"essence, entity, matter"
проект,project
сообщение,communication
сосед,neighbour
твёрдо,firmly
цифра,"figure, number"
англичанин,Englishman
во-вторых,secondly
вооружение,arming; arms
восток,east
запах,smell
зимний,winter (adj)
карандаш,pencil
корова,cow
краска,paint
май,May
передача,transmission
походить (на +a),to resemble
корпус,"corps; building; body, frame"
пояс,"belt, waist"
указывать/указать,to point out (+a or на +a)
вряд ли,(it’s) unlikely
горизонт,horizon
жаль,it’s a pity
задумываться/задуматься (о +pr/над +inst),"to think deeply, become thoughtful (about)"
изменять/изменить (+a),"to change, alter; (+d) betray"
житель,inhabitant
минутка,moment
север,north
некогда,there’s no time; once
ответственность,responsibility
сердиться/рас-,to be angry (with) (на +a)
передняя,entrance hall
пост,post (job)
расстояние,distance
сведение,"information, reduction"
совесть,conscience
традиция,tradition
фраза,phrase
чемодан,suitcase
голый,naked
защищать/защитить,to defend (+a)
кафедра,department (university)
компания,company; group of friends
оборудование,equipment
смелый,"brave, bold"
спорить/по-,to argue
спорт,sport
почему-то,for some reason
успешно,successfully
фильм,film
безопасность,security
выпускать/выпустить,to release (+a)
дисциплина,discipline
покой,"peace, quiet"
дышать/по- (+inst),to breathe
здорово,"(coll) splendid(ly), great healthily; (coll) hi!"
изображение,depiction
крепость,fortress; strength
окружать/окружить,to surround (sth with sth) (+a +inst)
несомненно,undoubtedly [not безусловно]
опускать/опустить,"to lower, drop (+a)"
отлично,excellent(ly)
примерно,approximately
спустя (+a),later (= через)
класть/положить,to put (+a)
строительный,construction (adj)
талант,talent
уставать/устать,to tire
разыскивать/разыскать,"to seek out, search for (+a)"
юность,youth
возвращать/вернуть,"to give back, return (+a)"
браться/взяться,"(за +a) to take hold of; start work on; take up, get down to"
крыло,wing
величина,size
зеркало,mirror
лестница,staircase; ladder
определять/определить (+a),"to define, determine"
очередной,next; regular
пальто,overcoat
папироса,cigarette
разбираться/разобраться,(в +pr) to sort sth out; investigate; understand
пушка,cannon
получение,receiving
сообщать/сообщить,to communicate (sth to s.o.) (+a +d)
приятно,pleasant(ly)
тесный,tight
посёлок,"settlement, village, community"
снаряд,shell (mil)
потеря,loss [not убыток]
платье,dress
пожар,fire
сердито,angrily
слух,hearing; rumour
экзамен,examination
благо,"good (thing), benefit; (coll) since, seeing that"
добавлять/добавить,to add (sth to sth) (+a к +d)
внутри (+g),inside
болото,marsh
выглядеть,to look (like)
организм,organism
готовиться (к +d),"to get ready, prepare oneself (for)"
двигатель,"motor, engine"
объявлять/объявить,"to declare, announce (+a or о +pr)"
капиталист,capitalist
дрожать/за-,to shiver
крепкий,strong
музыкальный,musical
по-прежнему,as before
нехорошо,"unwell, not good"
остаток,remainder
урожай,harvest
подобно (+d),similar (to)
поп,priest (coll)
привычка,habit
увеличение,increase
соглашение,agreement
покрывать/покрыть,to cover (sth with sth) (+a +inst)
спор,argument
бегать/по-,to run around
строка,line (of text)
тянуться/по-,"to stretch, stretch oneself"
ужасно,terribly
ценный,valuable
чисто,"purely, cleanly"
бегать/с-,"to run there and back, run somewhere (and return)"
напрасно,in vain
борода,beard
депутат,elected representative
заявление,announcement; application
коротко,"short, briefly"
ночью,at night
охота,desire; hunting
телеграмма,telegram
пища,food
помещение,"accommodation, premises"
выполнение,carrying out
ровно,evenly; precisely
тайга,taiga (northern forest)
толстый,fat (adj)
транспорт,transport
бык,bull
выдерживать/выдержать,to withstand (+a)
достигать/достигнуть (+g),to achieve
вынимать/вынуть,to take out (+a)
кожа,skin; leather
мол,he/she/they said
неожиданный,unexpected
официальный,official
меньший,smaller
охотник,hunter
пламя,flame
понимание,understanding (noun)
протягивать/протянуть,to stretch out (+a)
сооружение,construction
настолько,so much
профессия,profession
сторож,watchman
тревога,alarm
ступать/ступить,to step
утверждать,"to affirm, maintain"
белоснежный,snow-white
бутылка,bottle
волноваться/вз-,to worry
спешить/по-,to hurry
давление,pressure
запад,west
колебание,hesitation
кровать,bed
механический,mechanical
мощность,power (of engine etc.)
подарок,"present, gift"
направлять/направить,to direct (+a)
поскольку,"since, because, in as far as"
профсоюз,trade union
разбивать/разбить,"to break, smash (+a)"
сметь/по- (+inf),to dare
превращение,conversion
ствол,trunk (tree); barrel (gun)
уверенность,confidence
фонарь,lamp
подлинный,genuine
верховный,supreme
градус,degree (°)
допускать/допустить,to admit (s.o. to); assume; allow (+a к +d)
взаимный,mutual
заказ,"order (for sth), booking, offer"
инициатива,initiative
опытный,experienced
лекция,lecture
мокрый,wet
отдел,"section, department"
моральный,moral (adj) [not нравственный]
отдых,rest; holiday
отсутствие,absence
призыв,"call, appeal; call-up"
производительность,productivity
пятнадцать,fifteen
сказка,fairy-tale
сходить/сойти (с +g),to go down (from)
реакция,reaction
чудесный,wonderful
батарея,battery; radiator
старушка,old woman (diminutive)
бурный,stormy
велеть (+d +inf),to order (s.o. to do sth)
главное,the main thing
гнать/по-,"to drive; hunt, persecute, chase (+a)"
догадываться/догадаться,to guess; (+inf) have the sense to
изба,peasant cottage [not домик]
инструмент,instrument; tool
подвиг,"feat, heroic deed"
купец,merchant
лёд,ice
мороз,frost
завоёвывать/завоевать,to conquer (+a)
новость,piece of news
оборона,defence [not защита]
освобождение,liberation
пахнуть (+inst),to smell (of)
повесть,"story, novella"
прощаться/по- (с +inst),to say goodbye (to)
свыше,from above; (+g) more than
торчать,to stick out
жизненный,vital; life (adj)
знак,sign
кран,tap; crane
присутствие,presence [not наличие]
крестьянский,peasant (adj)
выражать/выразить,to express (+a)
личность,personality; individual
масштаб,scale [not размах]
мероприятие,measure; function (reception etc.)
охрана,protection; guard
посвящать/посвятить,"to devote, dedicate (sth to sth/s.o.) (+a +d)"
угодно,to your liking
пустяк,trifle
пятно,spot
располагать/расположить,"(+a) to arrange, set out; win over; (+inst) to have available"
рождение,birth
двое,two (collective numeral)
сопротивление,resistance
ужасный,terrible
флаг,flag
царский,tsar’s; tsarist
частность,detail
апрель,April
девчонка,girl (coll)
атака,attack [not нападение]
европейский,European
менять/по- (+a),to change
ничтожный,worthless
достоинство,"merit, virtue; dignity; value"
ежели,if (obs or coll)
крестьянство,peasantry
медаль,medal
отделение,"department, section"
норма,norm
прекрасно,"fine, excellent(ly)"
патриот,patriot
нужда,"want, need"
отчего,why
побывать (в +pr),to visit (a place)
раскалённый,"scorching, burning hot"
посуда,"crockery, dishes"
подписывать/подписать,"to sign, subscribe (+a)"
насчёт (+g),"about, concerning"
распространённый,"widespread, common"
рассеивать/рассеять,to scatter (+a)
таять/рас-,to melt
густой,"thick, dense"
пулемёт,machine-gun
районный,"regional, district (adj)"
соревнование,competition
грубый,"coarse, rude"
участок,plot of land; district
бригада,"brigade, team"
пропаганда,propaganda
молодость,youth
коллектив,"group, team [not группа]"
биться,to fight; beat
гибель,"ruin, destruction"
единство,unity
зритель,spectator
зря,"for nothing, pointlessly (coll)"
исходить (из +g),"to issue from, proceed from"
нищий,destitute; beggar
отправляться/отправиться,to set off
чувствовать/по- (+a),to feel
президиум,presidium
командир,commander
признак,"sign, indication"
дикий,wild
распоряжение,"instruction, command"
светиться,"to shine, gleam"
сеть,net; network
спасать/спасти,to save (+a)
сумма,sum
заключаться (в +pr),to consist of
мальчишка,"boy, small boy (coll)"
докладывать/доложить (о +pr),to report (on)
еле,"barely, only just"
социализм,socialism
женский,female
заниматься/заняться (+inst),"to take up, occupy / busy oneself (with)"
искусственный,artificial
конференция,conference
куст,bush
мозг,brain
нация,nation
непрерывный,uninterrupted
обнимать/обнять,to embrace (+a)
превращаться/превратиться,to turn into (sth) (в +a)
самовар,samovar
сверху,from above
шёпот,whisper
абсолютный,absolute
изменяться/измениться,to change
борец,fighter; wrestler
выигрыш,win
горячо,hot(ly) [not жарко]
неизвестный,unknown [not неведомый]
жестокий,cruel
заместитель,"deputy, substitute"
рассчитывать/рассчитать,to calculate; expect; rely on (на +a or +inf)
клетка,cage; cell (biol)
неизвестно,(it is) unknown
обязанность,"duty, obligation"
пустыня,desert
ремонт,repair; redecoration
слева,on the left
арестовывать/арестовать,to arrest (+a)
таков,such [pronoun]
ус,whisker
фашистский,Fascist (adj)
частный,"private, individual, particular"
путешествие,"voyage, journey"
чемпион,champion
ага,"ah (yes), aha"
беречь (+a),to look after
суровый,harsh [not жёсткий]
везде,everywhere
билет,ticket
возбуждение,"excitement, arousal"
вступать/вступить,"to enter, join (organization) (в +a)"
кое-что,"something, a thing or two"
выпуск,output; issue
грех,sin
дочка,daughter (intimate form)
изготовление,"production, manufacture, manufacturing"
полиция,police [not милиция]
великолепный,magnificent
исключительно,exclusively; exceptionally
критика,criticism
надпись,inscription
обращение (к +d),appeal (to); (c +inst) treatment; circulation
оттого,"for that reason, that is why"
плавать/по-,to swim; sail
поездка,"trip, journey"
грязный,dirty
пожилой,elderly
прочный,"firm, solid"
ружьё,"gun, rifle"
служащий,"office worker, white-collar worker"
рыжий,red-haired
растерянный,"perplexed, bewildered"
бродяга,"tramp, down-and-out"
справа,on the right
сахар,sugar
великан,giant
устройство,organization; mechanism
туча,storm cloud
утром,in the morning
благородный,noble
буря,"storm, gale"
вино,wine
возникать/возникнуть,to arise
молодец,fine fellow; well done!
вытаскивать/вытащить,"to drag out, pull out (from) (+a из +g)"
производить/произвести (+a),to produce
гигантский,giant (adj)
жаловаться/по-,to complain (about) (на +a)
заменять/заменить,to replace (sth with sth) (+a +inst)
лично,personally
навсегда,for ever
батюшка,father
надевать/надеть,to put on (clothing etc.) (+a)
объяснять/объяснить (+a),to explain
поворачивать/повернуть,to turn (+a)
стучать/по-,to knock (at) (в +a)
экспедиция,expedition
вооружённый,armed
гарантировать,to guarantee (+a)
жертва,victim
живо,quickly; vividly
животное,animal
знамя,banner
информация,information
многочисленный,numerous
выстрел,shot
концерт,concert
крайне,extremely
механизм,mechanism
насколько,"as much, how much"
объективный,objective (adj)
костёр,bonfire
объяснение,explanation
переворот,coup
своеобразный,"distinctive, individual; peculiar"
перо,feather
поворот,turn
позади,behind
приобретать/приобрести,to acquire (formal) (+a)
распределение,distribution
родитель,parent
свеча,candle
секрет,secret [not тайна]
прислушиваться/прислушаться (к +d),to listen carefully (to)
склад,"warehouse, store"
согласный,"harmonious, in agreement (adj); consonant (as noun)"
этап,"stage, phase"
сочинение,"composition, essay"
список,list
способствовать (+d),"to promote, further (sth)"
справляться/справиться (с +inst),to cope (with); (o +pr) ask about
сфера,sphere
танцевать/по-,to dance
скучно,"(it's) boring, boringly"
тащить/по-,to drag (+a)
успокаиваться/успокоиться,to calm down
сомневаться/усомниться (в +pr),to doubt
арест,arrest
явно,"clearly, obviously"
воспоминание,"memory, recollection"
актёр,actor
беседовать/по- (с +inst),"to talk, converse (with); have a talk (with)"
бытие,existence [not существование]
весенний,spring (adj)
вкус,taste
выдавать/выдать,"(+a) to give out, issue; betray; give away"
выдающийся,"eminent, prominent [participle used as (adj)]"
гудеть,to hum; hoot
добыча,booty; mining
дорожка,path; track
доставлять/доставить,to deliver (+a)
механик,mechanic (noun)
достаточный,sufficient
крест,cross
медицинский,medical
прятать/с-,to hide (sth) (+a)
мука,torment (noun)
мука,flour
напряжение,tension
нормальный,normal
ноябрь,November
печальный,sad
привозить/привезти (+a),to bring (by transport)
уважать,to respect (+a)
признание,"confession, admission"
рассвет,daybreak
сегодняшний,today’s
фирма,"firm, company"
ревновать,to be jealous
автомат,slot-machine; phone box
репутация,reputation
существенный,essential; important
рисовать/на-,to draw (+a)
буква,letter (of alphabet)
глупость,foolishness
селение,"settlement, village"
голод,hunger
драгоценный,valuable
греческий,Greek (adj)
деловой,business (adj)
душевный,"mental; sincere, heartfelt"
заглядывать/заглянуть,to glance
кой,which  (coll)
матч,match (game)
наблюдение,observation
открываться/открыться,to open
перестройка,restructuring (noun)
доверие,trust
преимущество,advantage
отличие,difference; distinction
приятный,pleasant
раскрывать/раскрыть,to open wide; reveal (+a)
сталь,steel
редко,rarely
соответствовать (+d),to correspond (to)
естественно,naturally
соответствующий,corresponding (adj)
хвост,tail
чрезвычайно,extremely
агрессивный,aggressive
вокзал,(main) station
глухой,"deaf; indistinct, muffled; remote (of place)"
парк,park; depot
любопытство,curiosity
нигде,nowhere
обращать/обратить,to turn (+a)
обширный,"extensive, vast"
непосредственно,immediately
отличный,excellent
платить/за-,to pay (s.o. for sth) (+d за +a)
доводить/довести (до +g),"to lead to, take as far as"
предстоять (+d),to lie ahead (of s.o.)
сажать/посадить,"to plant, seat (+a)"
простор,"space, expanse"
ответственный,responsible
профсоюзный,trade union (adj)
решительный,decisive
решаться/решиться,"(на +a or +inf) to make up one's mind (to); to bring os (to); dare, risk; be decided"
рынок,market
сплошной,continuous
точность,precision; punctuality
трое,"three, threesome (collective numeral)"
удивительно,surprisingly
шестьдесят,sixty
арена,arena
взор,"look, glance; gaze"
столб,"pole, pillar"
вносить/внести (+a в +a),"to carry in, bring in"
довольный (+inst),"satisfied, pleased (with)"
вследствие (+g),"because of, owing to"
грозить/при- (+d),to threaten (s.o.)
далее,further
зависимость,dependence
кто-нибудь,anyone
одетый (в +a),dressed; wearing
подруга,(female) friend
оказывать/оказать,"to render, give (+a)"
подушка,pillow; cushion
рубашка,shirt
правление,government; board (of management)
листок,"small sheet (of paper); small leaf, leaflet"
расходиться/разойтись,"to disperse, split up"
скала,"crag, rock face, cliff"
февраль,February
сперва,at first (coll)
терпеть/по- (+a),to be patient; endure
управлять (+inst),"to manage, control"
характерный,characteristic (adj)
справедливость,"justice, fairness"
хм,hm! (expressing hesitation)
тьма,darkness
артист,"artiste, performer"
благоприятный,favourable
выбирать/выбрать,to choose (+a)
декабрь,December
заря,dawn; sunset
колокол,bell
дыхание,breathing
медный,copper (adj)
дивизия,division (army)
крутой,steep; severe; cool (coll)
меняться/об-,to change; p: (+inst) exchange
невидимый,invisible
скидывать/скинуть,"(+a) to throw off (coll), take off (clothes), knock off (price)"
обязательство,"pledge, obligation, liability"
домашний,domestic
оглядываться/оглядеться,to look round
оглядываться/оглянуться,to look back
орден,"medal, decoration; order (society)"
силуэт,silhouette
очки,"glasses, spectacles"
синева,"blue colour, blueness"
отпускать/отпустить,"to release, let go (+a)"
перспектива,perspective; prospect
складка,"fold, crease"
переводить/перевести (+a),to take across; transfer; translate
применять/применить (+a),"to use, employ, apply"
присаживаться/присесть,"to take a seat, sit down"
проверять/проверить (+a),to check
сборник,"collection (book of poems, stories, articles)"
смешной,"funny, ridiculous"
спектакль,(theatre) performance
справедливый,"fair, just"
сравнительно,comparatively
теоретический,theoretical
убирать/убрать,to take away; tidy; p: tidy up (+a)
ценность,value
агроном,agronomist
внедрение,inculcation; putting into practice
восточный,eastern
годиться (на +a or для +g),"to be fit (for), be usable"
гордость,pride [not самолюбие]
жениться (на +pr),to marry (of man)
заметно,noticeably
кино,cinema
коренной,fundamental
масло,butter; oil
мастерская,"workshop, studio"
мясо,meat
надёжный,reliable
назначать/назначить,"(+a +inst) to appoint (s.o. as sth); fix, arrange"
наступление,"offensive, advance"
невеста,bride; fiancee
обратный,reverse (adj)
одинаковый,identical
относительно,relatively; (+g) concerning
памятник,monument
перебивать/перебить,to interrupt (+a)
дарить/по-,"to give, present (sth to s.o.) (+a +d)"
подход,approach
помещик,landowner
появление,appearance
прибыль,profit
семейный,family (adj)
слыхать (о +pr),to hear (about) (coll)
слышаться/по-,to be heard
сочинять/сочинить (+a),"to compose, make up"
талантливый,talented
технология,technology
тихонько,quietly (coll)
ткань,cloth
толк,"sense, point; understanding"
тоска,"melancholy, depression, ennui; (по +d) yearning (for)"
фактор,factor
хохотать/за-,"to guffaw, laugh loudly"
агент,agent
бассейн,"pool, swimming-pool; basin (geog)"
вариант,variant
вне (+g),outside
выбор,choice
гул,"rumble, boom, hum"
забор,fence [not ограда]
задний,rear (adj)
континент,continent
копейка,kopeck
лозунг,slogan
невольно,unintentionally
нежный,"tender, gentle"
незаметно,imperceptibly
несчастный,unhappy
нефть,"oil, petroleum"
отнимать/отнять,to take away (+a)
отступать/отступить (от +g),to retreat; deviate (from)
пассажир,passenger
подводный,underwater (adj)
прекращение,"stopping, ending"
провожать/проводить (+a),"to accompany, see off"
раб,slave
роза,rose
ручка,small hand; handle; pen
сигнал,signal
скрывать/скрыть,"to hide, conceal (+a)"
совершать/совершить,"to accomplish, complete (+a)"
столик,"small table, restaurant table"
стук,knock
торговать (+inst),to trade (in)
торжественный,ceremonial; celebratory
фантастический,fantastic (adj)
ярко,brightly
бесконечно,endlessly
буквально,literally
выгодный,advantageous
генеральный,general (adj)
грандиозный,grandiose
грязь,mud; dirt
склонный (к +d or +inf),inclined (to)
добираться/добраться (до +g),"to reach, get to"
слезать/слезть (с +g),"to climb down, climb off"
должность,"post, job"
совместно,jointly
пугаться/ис- (+g),to take fright (at)
содружество,commonwealth
июль,July
стихия,"element, elemental force; chaos"
отделка,"finishing, fitting-out, decoration"
открытка,postcard
койка,"bunk, berth"
костюм,suit; costume
ласково,affectionately
локоть,elbow
любопытный,curious
надоедать/надоесть (+d),"to bore, pester, persecute"
начальство,"the management, the authorities"
нуждаться (в +pr),"to need, be in need of"
одежда,clothes
окошко,small window
особо,specially; separately
отъезд,departure
практически,practically
прекращать/прекратить,"to stop, discontinue (+a)"
прогрессивный,progressive
продолжаться,to continue
произносить/произнести (+a),to pronounce
разрабатывать/разработать,"to work out, devise, develop, design, cultivate (+a)"
разум,"reason, intellect"
розовый,pink; rosy
славный,glorious
смешно,comical(ly)
фото,photo
шляпа,hat (with brim)
штука,thing (coll)
автоматический,automatic
активно,actively
вбегать/вбежать,to run in (в +a)
везти/по- (+a),to transport; (+d) be lucky
ветвь,branch; bough
вредный,harmful
вскакивать/вскочить,to jump in; leap up
выводить/вывести (из +g),to lead out; remove
грохот,crash; rumble
десятилетие,decade [not десяток]
достойный,worthy
дурной,"bad, evil [not злой]"
жест,gesture
занятый,"occupied, busy"
записывать/записать,to note down (+a)
исключение,exception
ледяной,icy
лента,"ribbon, tape"
махать/махнуть (+inst),to wave
муха,fly
негромко,"quietly, in a low voice"
непосредственный,"immediate, direct, spontaneous"
обижаться/обидеться,to take offence
обязанный,obliged
октябрьский,October (adj)
орать,"to howl, yell"
оценивать/оценить,"to evaluate, appreciate (+a)"
племя,tribe
поглощать/поглотить,"to swallow, absorb (+a)"
подготавливать/подготовить,(+a) to prepare; make ready (for); train (for)
подробно,in detail
потолок,ceiling
проводиться,"to be conducted, take place"
проклятый,damned
разрыв,"break, gap; shell-burst"
распространение,"spreading, dissemination"
самостоятельный,independent [not независимый]
складываться/сложиться,to take shape; club together
союзник,ally
страсть,passion
танк,tank (mil)
тарелка,plate
топливо,fuel
триста,three hundred
убеждать/убедить,to convince; persuade (+a)
удивление,surprise [not неожиданность]
удобный,comfortable; convenient
холм,hill
четверть,quarter
безусловно,undoubtedly [not несомненно]
больница,hospital
восторг,delight
выносить/вынести (+a),"to carry out, take away; endure"
выскакивать/выскочить (из +g),to jump out (of)
горло,throat
действительный,"real, actual; valid"
доход,income
думаться,to be thought
заключение,conclusion; confinement
издание,publication; edition
изучать/изучить,"to learn, master, study (+a)"
конечный,final
корзина,basket
кормить/на-,to feed (+a)
лишать/лишить,to deprive (s.o. of sth) (+a +g)
мужской,masculine; male
непрерывно,continuously
обсуждение,discussion
одевать/одеть,(+a) to dress (s.o.); (coll) put on
палка,stick
перемена,change [not изменение]
студенческий,student (adj)
площадка,"ground, area"
бережно,carefully [not осторожно]
петух,cock
победитель,victor
подтверждать/подтвердить,to confirm (+a)
портфель,briefcase
приятель,friend
прочь,away
разрешение,permission; solution
священник,priest
сентябрь,September
совершенный,perfect
совать/сунуть,"to thrust, poke (sth into sth) (+a)"
тыл,rear (military)
увеличивать/увеличить,to increase (sth) (+a)
ура,"hurrah, hurray"
фантазия,imagination [not воображение]
чего,why (coll)
бумажка,piece of paper; banknote
вал,billow; rampart; gross output (econ)
вина,guilt
волнение,agitation; disturbance
воскресенье,Sunday
впоследствии,subsequently
выяснять/выяснить (+a),"to clarify, establish"
глянуть (на +a),to glance (at)
гостиница,hotel
двигаться/двинуться,to move
должно,one ought to
должно быть,probably
драться/по-,to fight
запоминать/запомнить,to commit to memory (+a)
звено,link [not связь]
издательство,publishing house
интеллигенция,intelligentsia; professional people
командование,command
крепостной,serf
логика,logic
насилие,"violence, force"
наступать/наступить,"to advance; begin; tread on; come (of time, seasons)"
небесный,"heavenly, celestial"
независимый,independent [not самостоятельный]
огонёк,(small) light
освобождать/освободить,"to liberate, free (+a)"
отпуск,leave (from work)
переговоры,negotiations
пиджак,jacket
плотный,compact; solid
поддерживать/поддержать,to support (+a)
полка,shelf
посторонний,"outside, not directly involved; outsider"
поэтический,poetic
преступление,crime
пропадать/пропасть,"to vanish, be lost, p: go missing"
размах,"scope, range, scale [not масштаб]"
ранний,early (adj)
расход,expenditure
рейс,journey (of vehicle)
решающий,"deciding, decisive"
серия,series
стальной,steel (adj)
труженик,"toiler, worker"
целиком,entirely
август,August
аэродром,"aerodrome, airfield"
бесполезный,useless
бесчисленный,innumerable
бледный,pale
вначале,at first
внизу,below
задумчиво,"thoughtfully, pensively"
мотив,motive; motif
наливать/налить,to pour out (+a)
нападение,attack [not атака]
направляться/направиться (к +d),"to make for, head for"
напряжённый,tense (adj)
неправда,untruth; untrue
никуда,nowhere
обманывать/обмануть,to deceive (+a)
одинокий,solitary
осенний,autumn (adj)
основывать/основать,to found (+a)
откладывать/отложить,to put aside; postpone (+a)
поздний,late
полоска,strip
поступок,"action, act [not действие]"
пристань,"jetty, pier, wharf"
разворачивать/развернуть,(+a) to unfold; develop; expand
разбирать/разобрать,"to take to pieces; make out, sort out, understand (+a)"
раненый,wounded
скорый,fast
сосредоточивать/сосредоточить,(+a на +pr) to concentrate (sth on sth)
сотрудник,"employee, official, worker, colleague"
столетие,century
страдать/по-,to suffer
темно,(it’s) dark
удивляться/удивиться (+d),to be surprised (at)
учительница,teacher (f)
финансовый,financial
чайник,teapot; kettle
экран,screen
бесцветный,colourless
биография,biography
